iter	Passed	Remaining
0	181	27087
1	344	25461
2	447	21931
3	598	21837
4	757	21981
5	862	20700
6	977	19977
7	1099	19514
8	1317	20634
9	1607	22501
10	1778	22471
11	1878	21607
12	2176	22932
13	2302	22366
14	2428	21856
15	2544	21308
16	2761	21604
17	2878	21110
18	3005	20718
19	3119	20277
20	3297	20258
21	3540	20597
22	3648	20146
23	3750	19687
24	3878	19391
25	3989	19028
26	4085	18610
27	4196	18286
28	4312	17993
29	4436	17747
30	4564	17520
31	4599	16960
32	4716	16722
33	4833	16490
34	4921	16169
35	5041	15965
36	5129	15665
37	5218	15381
38	5331	15172
39	5491	15102
40	5616	14932
41	5725	14722
42	5840	14534
43	5955	14346
44	6036	14084
45	6150	13904
46	6268	13737
47	6373	13542
48	6530	13461
49	6654	13309
50	6772	13146
51	6894	12993
52	7034	12874
53	7152	12715
54	7299	12607
55	7401	12423
56	7544	12309
57	7637	12114
58	7757	11964
59	7971	11957
60	8161	11907
61	8330	11823
62	8521	11767
63	8666	11645
64	8837	11556
65	8995	11448
66	9129	11310
67	9250	11154
68	9412	11048
69	9663	11043
70	9838	10947
71	10087	10927
72	10291	10855
73	10451	10733
74	10649	10649
75	10783	10499
76	10878	10313
77	11010	10163
78	11155	10025
79	11583	10135
80	11859	10102
81	12094	10029
82	12279	9912
83	12441	9775
84	12561	9606
85	12679	9435
86	12768	9246
87	12859	9060
88	12959	8882
89	13072	8715
90	13177	8543
91	13272	8367
92	13504	8277
93	13718	8172
94	13863	8025
95	13992	7870
96	14174	7744
97	14336	7607
98	14448	7442
99	14577	7288
100	14778	7169
101	14935	7028
102	15034	6860
103	15119	6687
104	15254	6537
105	15417	6399
106	15544	6247
107	15705	6107
108	15890	5977
109	16096	5853
110	16220	5699
111	16358	5550
112	16449	5386
113	16544	5224
114	16669	5073
115	16776	4917
116	16875	4759
117	16991	4607
118	17116	4459
119	17364	4341
120	17587	4215
121	17766	4077
122	18023	3956
123	18236	3823
124	18450	3690
125	18552	3533
126	18771	3399
127	18888	3246
128	19140	3115
129	19531	3004
130	19657	2851
131	19901	2713
132	19962	2551
133	20131	2403
134	20406	2267
135	20544	2114
136	20694	1963
137	20882	1815
138	20987	1660
139	21143	1510
140	21272	1357
141	21471	1209
142	21563	1055
143	21717	904
144	21913	755
145	22080	604
146	22156	452
147	22304	301
148	22438	150
149	22525	0
