iter	Passed	Remaining
0	7	1074
1	13	1004
2	21	1029
3	26	971
4	33	970
5	42	1026
6	51	1050
7	55	980
8	58	918
9	61	863
10	65	824
11	68	787
12	71	754
13	74	728
14	78	702
15	79	667
16	82	648
17	86	631
18	89	614
19	92	600
20	95	586
21	97	570
22	101	557
23	104	546
24	107	536
25	110	526
26	113	516
27	116	508
28	119	500
29	122	491
30	125	483
31	129	476
32	132	470
33	135	463
34	139	456
35	142	449
36	144	442
37	147	435
38	150	429
39	154	423
40	157	419
41	160	413
42	163	407
43	167	402
44	169	396
45	173	391
46	175	385
47	178	380
48	182	375
49	184	369
50	188	365
51	191	360
52	194	355
53	197	351
54	200	346
55	203	342
56	207	338
57	210	333
58	213	329
59	217	325
60	220	321
61	223	317
62	226	313
63	229	308
64	232	304
65	236	301
66	241	298
67	244	294
68	247	290
69	251	287
70	254	282
71	257	278
72	260	275
73	264	271
74	267	267
75	270	263
76	273	259
77	276	255
78	279	251
79	283	247
80	287	244
81	294	244
82	300	242
83	305	240
84	308	236
85	313	233
86	316	229
87	320	225
88	323	221
89	325	217
90	329	213
91	332	209
92	335	205
93	338	201
94	341	197
95	344	194
96	348	190
97	350	186
98	354	182
99	357	178
100	360	175
101	364	171
102	367	167
103	370	163
104	374	160
105	377	156
106	380	152
107	383	149
108	386	145
109	390	141
110	392	137
111	395	134
112	398	130
113	402	127
114	405	123
115	409	119
116	412	116
117	415	112
118	419	109
119	422	105
120	424	101
121	427	98
122	430	94
123	434	91
124	437	87
125	440	83
126	443	80
127	446	76
128	450	73
129	453	69
130	456	66
131	459	62
132	462	59
133	465	55
134	469	52
135	472	48
136	475	45
137	478	41
138	482	38
139	484	34
140	487	31
141	490	27
142	493	24
143	496	20
144	500	17
145	503	13
146	507	10
147	510	6
148	513	3
149	517	0
